AREARES,Area of Residence,TLIST(A1),Year,STATISTIC,Statistic Label,UNIT,VALUE
01,Great Britain,1983,1983,TMA06C1,Expenditure by Visitors to Ireland,Euro Million,179
01,Great Britain,1983,1983,TMA06C2,Visitors to Ireland,Thousand,1129
01,Great Britain,1983,1983,TMA06C3,Average Length of Stay in Nights by Visitors to Ireland,Nights,8.4
01,Great Britain,1984,1984,TMA06C1,Expenditure by Visitors to Ireland,Euro Million,194
01,Great Britain,1984,1984,TMA06C2,Visitors to Ireland,Thousand,1188
01,Great Britain,1984,1984,TMA06C3,Average Length of Stay in Nights by Visitors to Ireland,Nights,8.6
01,Great Britain,1985,1985,TMA06C1,Expenditure by Visitors to Ireland,Euro Million,206
01,Great Britain,1985,1985,TMA06C2,Visitors to Ireland,Thousand,1104
01,Great Britain,1985,1985,TMA06C3,Average Length of Stay in Nights by Visitors to Ireland,Nights,8.7
01,Great Britain,1986,1986,TMA06C1,Expenditure by Visitors to Ireland,Euro Million,216
01,Great Britain,1986,1986,TMA06C2,Visitors to Ireland,Thousand,1084
01,Great Britain,1986,1986,TMA06C3,Average Length of Stay in Nights by Visitors to Ireland,Nights,8.4
01,Great Britain,1987,1987,TMA06C1,Expenditure by Visitors to Ireland,Euro Million,253
01,Great Britain,1987,1987,TMA06C2,Visitors to Ireland,Thousand,1209
01,Great Britain,1987,1987,TMA06C3,Average Length of Stay in Nights by Visitors to Ireland,Nights,8
01,Great Britain,1988,1988,TMA06C1,Expenditure by Visitors to Ireland,Euro Million,317
01,Great Britain,1988,1988,TMA06C2,Visitors to Ireland,Thousand,1465
01,Great Britain,1988,1988,TMA06C3,Average Length of Stay in Nights by Visitors to Ireland,Nights,7.5
01,Great Britain,1989,1989,TMA06C1,Expenditure by Visitors to Ireland,Euro Million,362
01,Great Britain,1989,1989,TMA06C2,Visitors to Ireland,Thousand,1668
01,Great Britain,1989,1989,TMA06C3,Average Length of Stay in Nights by Visitors to Ireland,Nights,7.6
01,Great Britain,1990,1990,TMA06C1,Expenditure by Visitors to Ireland,Euro Million,408
01,Great Britain,1990,1990,TMA06C2,Visitors to Ireland,Thousand,1786
01,Great Britain,1990,1990,TMA06C3,Average Length of Stay in Nights by Visitors to Ireland,Nights,7.6
01,Great Britain,1991,1991,TMA06C1,Expenditure by Visitors to Ireland,Euro Million,422
01,Great Britain,1991,1991,TMA06C2,Visitors to Ireland,Thousand,1729
01,Great Britain,1991,1991,TMA06C3,Average Length of Stay in Nights by Visitors to Ireland,Nights,7.9
01,Great Britain,1992,1992,TMA06C1,Expenditure by Visitors to Ireland,Euro Million,409
01,Great Britain,1992,1992,TMA06C2,Visitors to Ireland,Thousand,1758
01,Great Britain,1992,1992,TMA06C3,Average Length of Stay in Nights by Visitors to Ireland,Nights,7.7
01,Great Britain,1993,1993,TMA06C1,Expenditure by Visitors to Ireland,Euro Million,452
01,Great Britain,1993,1993,TMA06C2,Visitors to Ireland,Thousand,1887
01,Great Britain,1993,1993,TMA06C3,Average Length of Stay in Nights by Visitors to Ireland,Nights,7.1
01,Great Britain,1994,1994,TMA06C1,Expenditure by Visitors to Ireland,Euro Million,540
01,Great Britain,1994,1994,TMA06C2,Visitors to Ireland,Thousand,2087
01,Great Britain,1994,1994,TMA06C3,Average Length of Stay in Nights by Visitors to Ireland,Nights,7
01,Great Britain,1995,1995,TMA06C1,Expenditure by Visitors to Ireland,Euro Million,608
01,Great Britain,1995,1995,TMA06C2,Visitors to Ireland,Thousand,2365
01,Great Britain,1995,1995,TMA06C3,Average Length of Stay in Nights by Visitors to Ireland,Nights,6.6
01,Great Britain,1996,1996,TMA06C1,Expenditure by Visitors to Ireland,Euro Million,701
01,Great Britain,1996,1996,TMA06C2,Visitors to Ireland,Thousand,2698
01,Great Britain,1996,1996,TMA06C3,Average Length of Stay in Nights by Visitors to Ireland,Nights,6.9
01,Great Britain,1997,1997,TMA06C1,Expenditure by Visitors to Ireland,Euro Million,847
01,Great Britain,1997,1997,TMA06C2,Visitors to Ireland,Thousand,3025
01,Great Britain,1997,1997,TMA06C3,Average Length of Stay in Nights by Visitors to Ireland,Nights,6.8
01,Great Britain,1998,1998,TMA06C1,Expenditure by Visitors to Ireland,Euro Million,938
01,Great Britain,1998,1998,TMA06C2,Visitors to Ireland,Thousand,3383
01,Great Britain,1998,1998,TMA06C3,Average Length of Stay in Nights by Visitors to Ireland,Nights,6.3
01,Great Britain,1999,1999,TMA06C1,Expenditure by Visitors to Ireland,Euro Million,968
